site,tow_type,depth_m,date,d_midd,d_long,bosmina,holo,heter,d_prib,c_scutt,p_ped,year
Toolik,vt,NA,1991-08-06,0,0.006,0.007,0,0.005,0.553,0.301,NA,1991
Toolik,vt,NA,1991-08-12,0,0.007,0.016,0,0.001,0.392,0.332,NA,1991
Toolik,vt,NA,1991-08-12,0,0.007,0.013,0,0.003,0.641,0.107,NA,1991
Toolik,vt,15,1992-06-30,0,0.01,0.01,0,0,0.223,0.71,NA,1992
Toolik,vt,15,1992-06-30,0,0.033,0.05,0,0,0.415,1.626,NA,1992
Toolik,vt,15,1992-07-07,0,0.019,0.039,0,0,0.154,0.963,NA,1992
Toolik,vt,15,1992-07-07,0,0,0.034,0,0,0.068,0.903,NA,1992
Toolik,vt,15,1992-07-14,0.001,0.126,0.442,0,0.093,2.173,2.704,NA,1992
Toolik,vt,15,1992-07-14,0,0.256,0.384,0,0.037,2.679,2.861,NA,1992
Toolik,vt,15,1992-07-21,0.008,0.037,0.027,0,0.009,0.959,2.466,NA,1992
Toolik,vt,15,1992-07-21,0.001,0.004,0.001,0,0.001,0.307,1.611,NA,1992
Toolik,vt,15,1992-07-28,0.001,0.001,0.006,0,0.01,1.213,3.053,NA,1992
Toolik,vt,15,1992-07-28,0,0.003,0.005,0,0.006,0.685,2.671,NA,1992
Toolik,vt,15,1992-08-08,0,0.005,0.006,0,0.002,0.671,2.333,NA,1992
Toolik,vt,15,1992-08-08,0,0.002,0.011,0,0.005,0.734,2.717,NA,1992
Toolik,vt,15,1992-08-08,0,0,0.014,0,0.004,0.256,1.025,NA,1992
Toolik,vt,15,1992-08-08,0,0,0.006,0,0.005,0.499,1.413,NA,1992
