site,date,year,month,variable,value
toolik,1992-06-10T00:00:00Z,1992,6,temp_c,1.5
toolik,1992-06-18T00:00:00Z,1992,6,chl_ug_l,0.538527
toolik,1992-06-18T00:00:00Z,1992,6,cond_u_s,30
toolik,1992-06-18T00:00:00Z,1992,6,do_mg_l,10.5
toolik,1992-06-18T00:00:00Z,1992,6,secchi_m,2.3
toolik,1992-06-18T00:00:00Z,1992,6,temp_c,4.5
toolik,1992-06-23T00:00:00Z,1992,6,chl_ug_l,1.866962
toolik,1992-06-23T00:00:00Z,1992,6,cond_u_s,53
toolik,1992-06-23T00:00:00Z,1992,6,do_mg_l,11.6
toolik,1992-06-23T00:00:00Z,1992,6,secchi_m,3.3
toolik,1992-06-23T00:00:00Z,1992,6,temp_c,4.8
toolik,1992-06-30T00:00:00Z,1992,6,chl_ug_l,1.3933935
toolik,1992-06-30T00:00:00Z,1992,6,cond_u_s,31.333333333333332
toolik,1992-06-30T00:00:00Z,1992,6,do_mg_l,11.3
toolik,1992-06-30T00:00:00Z,1992,6,secchi_m,3.75
toolik,1992-06-30T00:00:00Z,1992,6,temp_c,6.433333333333334
toolik,1992-07-07T00:00:00Z,1992,7,chl_ug_l,1.1312389999999999
toolik,1992-07-07T00:00:00Z,1992,7,cond_u_s,34.666666666666664
toolik,1992-07-07T00:00:00Z,1992,7,do_mg_l,9.866666666666667
toolik,1992-07-07T00:00:00Z,1992,7,secchi_m,4.1
toolik,1992-07-07T00:00:00Z,1992,7,temp_c,12.066666666666666
toolik,1992-07-13T00:00:00Z,1992,7,chl_ug_l,1.2374165000000001
toolik,1992-07-13T00:00:00Z,1992,7,cond_u_s,33
toolik,1992-07-13T00:00:00Z,1992,7,do_mg_l,9.433333333333334
toolik,1992-07-13T00:00:00Z,1992,7,secchi_m,4.4
toolik,1992-07-13T00:00:00Z,1992,7,temp_c,12.2
toolik,1992-07-21T00:00:00Z,1992,7,chl_ug_l,0.8512325000000001
toolik,1992-07-21T00:00:00Z,1992,7,cond_u_s,60
toolik,1992-07-21T00:00:00Z,1992,7,do_mg_l,10.266666666666667
toolik,1992-07-21T00:00:00Z,1992,7,secchi_m,5.3
