site,date,year,month,depth_m,variable,value
toolik,1990-06-19T00:00:00Z,1990,6,12,cond_u_s,39
toolik,1990-06-19T00:00:00Z,1990,6,12,do_mg_l,10.8
toolik,1990-06-19T00:00:00Z,1990,6,12,chl_ug_l,NA
toolik,1990-06-19T00:00:00Z,1990,6,12,secchi_m,4
toolik,1990-06-19T00:00:00Z,1990,6,13,temp_c,3.65
toolik,1990-06-19T00:00:00Z,1990,6,13,cond_u_s,40
toolik,1990-06-19T00:00:00Z,1990,6,13,do_mg_l,10.8
toolik,1990-06-19T00:00:00Z,1990,6,13,chl_ug_l,NA
toolik,1990-06-19T00:00:00Z,1990,6,13,secchi_m,4
toolik,1990-06-19T00:00:00Z,1990,6,14,temp_c,3.65
toolik,1990-06-19T00:00:00Z,1990,6,14,cond_u_s,40
toolik,1990-06-19T00:00:00Z,1990,6,14,do_mg_l,10.78
toolik,1990-06-19T00:00:00Z,1990,6,14,chl_ug_l,NA
toolik,1990-06-19T00:00:00Z,1990,6,14,secchi_m,4
toolik,1990-06-19T00:00:00Z,1990,6,15,temp_c,3.6
toolik,1990-06-19T00:00:00Z,1990,6,15,cond_u_s,40
toolik,1990-06-19T00:00:00Z,1990,6,15,do_mg_l,10.6
toolik,1990-06-19T00:00:00Z,1990,6,15,chl_ug_l,NA
toolik,1990-06-19T00:00:00Z,1990,6,15,secchi_m,4
toolik,1990-06-19T00:00:00Z,1990,6,16,temp_c,3.6
toolik,1990-06-19T00:00:00Z,1990,6,16,cond_u_s,40
toolik,1990-06-19T00:00:00Z,1990,6,16,do_mg_l,10.6
toolik,1990-06-19T00:00:00Z,1990,6,16,chl_ug_l,NA
toolik,1990-06-19T00:00:00Z,1990,6,16,secchi_m,4
toolik,1990-06-26T00:00:00Z,1990,6,0,temp_c,9.05
toolik,1990-06-26T00:00:00Z,1990,6,0,cond_u_s,41
toolik,1990-06-26T00:00:00Z,1990,6,0,do_mg_l,10.6
toolik,1990-06-26T00:00:00Z,1990,6,0,chl_ug_l,NA
toolik,1990-06-26T00:00:00Z,1990,6,0,secchi_m,4
toolik,1990-06-26T00:00:00Z,1990,6,0.1,temp_c,9.045
toolik,1990-06-26T00:00:00Z,1990,6,0.1,cond_u_s,40.8
toolik,1990-06-26T00:00:00Z,1990,6,0.1,do_mg_l,10.58
toolik,1990-06-26T00:00:00Z,1990,6,0.1,chl_ug_l,NA
toolik,1990-06-26T00:00:00Z,1990,6,0.1,secchi_m,4
toolik,1990-06-26T00:00:00Z,1990,6,0.2,temp_c,9.04
toolik,1990-06-26T00:00:00Z,1990,6,0.2,cond_u_s,40.6
toolik,1990-06-26T00:00:00Z,1990,6,0.2,do_mg_l,10.56
toolik,1990-06-26T00:00:00Z,1990,6,0.2,chl_ug_l,NA
toolik,1990-06-26T00:00:00Z,1990,6,0.2,secchi_m,4
